patch_id,dataset_class,subset,split,region_role,mountain_id,mountain_name,mountain_name_zh,mountain_name_en,block_id,block_group_id,request_id,processing_unit_id,processing_crs,utm_zone,row_off,col_off,height,width,stride,patch_size,hr_resolution_m,bbox_west,bbox_south,bbox_east,bbox_north,center_lon,center_lat,nodata_ratio,patch_block_coverage,status,warning,hr_path,lr_x2_path,lr_x4_path,lr_x6_path
core_train_000001,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,2373,96,96,96,96,30,82.86940098075729,29.091270979109414,82.8999562468564,29.11810546067744,82.88468045400855,29.104688805319736,0.0,1.0,sampled,,main/train/hr/core_train_000001.tif,main/train/lr/x2/core_train_000001.tif,main/train/lr/x4/core_train_000001.tif,main/train/lr/x6/core_train_000001.tif
core_train_000002,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,2469,96,96,96,96,30,82.89892672836848,29.092177882445053,82.92947598585323,29.11900684897125,82.91420319767022,29.1055929529222,0.0,1.0,sampled,,main/train/hr/core_train_000002.tif,main/train/lr/x2/core_train_000002.tif,main/train/lr/x4/core_train_000002.tif,main/train/lr/x6/core_train_000002.tif
core_train_000003,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,2565,96,96,96,96,30,82.92845382960286,29.093078316112287,82.9589970674105,29.11990175967273,82.94372728942119,29.10649062689412,0.0,1.0,sampled,,main/train/hr/core_train_000003.tif,main/train/lr/x2/core_train_000003.tif,main/train/lr/x4/core_train_000003.tif,main/train/lr/x6/core_train_000003.tif
core_train_000004,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,2661,96,96,96,96,30,82.95798227481828,29.09397227903121,82.9885194818934,29.120790191708203,82.97325271962298,29.1073818261587,0.0,1.0,sampled,,main/train/hr/core_train_000004.tif,main/train/lr/x2/core_train_000004.tif,main/train/lr/x4/core_train_000004.tif,main/train/lr/x6/core_train_000004.tif
core_train_000005,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,2757,96,96,96,96,30,82.98751205436989,29.09485977012958,83.01804321966459,29.121672144011583,83.0027794786345,29.1082665496468,0.0,1.0,sampled,,main/train/hr/core_train_000005.tif,main/train/lr/x2/core_train_000005.tif,main/train/lr/x4/core_train_000005.tif,main/train/lr/x6/core_train_000005.tif
core_train_000006,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,2853,96,96,96,96,30,83.0170431586102,29.09574078834284,83.04756827108396,29.122547615524525,83.03230755681193,29.10914479629692,0.0,1.0,sampled,,main/train/hr/core_train_000006.tif,main/train/lr/x2/core_train_000006.tif,main/train/lr/x4/core_train_000006.tif,main/train/lr/x6/core_train_000006.tif
core_train_000007,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,2949,96,96,96,96,30,83.0465755778891,29.09661533261407,83.07709462650888,29.12341660519633,83.0618369445089,29.11001656505528,0.0,1.0,sampled,,main/train/hr/core_train_000007.tif,main/train/lr/x2/core_train_000007.tif,main/train/lr/x4/core_train_000007.tif,main/train/lr/x6/core_train_000007.tif
core_train_000008,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,3141,96,96,96,96,30,83.1056443229489,29.09834499514122,83.13615121079164,29.12513513485222,83.12089960986273,29.111740664719925,0.0,1.0,sampled,,main/train/hr/core_train_000008.tif,main/train/lr/x2/core_train_000008.tif,main/train/lr/x4/core_train_000008.tif,main/train/lr/x6/core_train_000008.tif
core_train_000009,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,3237,96,96,96,96,30,83.13518062941648,29.0992001113217,83.16568142035122,29.12598467277339,83.15043286821381,29.112592993557023,0.0,1.0,sampled,,main/train/hr/core_train_000009.tif,main/train/lr/x2/core_train_000009.tif,main/train/lr/x4/core_train_000009.tif,main/train/lr/x6/core_train_000009.tif
core_train_000010,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,3333,96,96,96,96,30,83.16471821229602,29.100048749409307,83.19521289531984,29.126827724727583,83.17996739747286,29.113438840364005,0.0,1.0,sampled,,main/train/hr/core_train_000010.tif,main/train/lr/x2/core_train_000010.tif,main/train/lr/x4/core_train_000010.tif,main/train/lr/x6/core_train_000010.tif
