directory,file_count
additional_region_cross_source/test/hr,4500
additional_region_cross_source/test/lr/aw3d30/x2,4500
additional_region_cross_source/test/lr/aw3d30/x4,4500
additional_region_cross_source/test/lr/aw3d30/x6,4500
additional_region_cross_source/test/lr/nasadem/x2,4500
additional_region_cross_source/test/lr/nasadem/x4,4500
additional_region_cross_source/test/lr/nasadem/x6,4500
additional_regions/test/hr,4500
additional_regions/test/lr/x2,4500
additional_regions/test/lr/x4,4500
additional_regions/test/lr/x6,4500
main/test/hr,4500
main/test/lr/x2,4500
main/test/lr/x4,4500
main/test/lr/x6,4500
main/train/hr,36000
main/train/lr/x2,36000
main/train/lr/x4,36000
main/train/lr/x6,36000
main/val/hr,4500
main/val/lr/x2,4500
main/val/lr/x4,4500
main/val/lr/x6,4500
same_region_cross_source/test/hr,4500
same_region_cross_source/test/lr/aw3d30/x2,4500
same_region_cross_source/test/lr/aw3d30/x4,4500
same_region_cross_source/test/lr/aw3d30/x6,4500
same_region_cross_source/test/lr/nasadem/x2,4500
same_region_cross_source/test/lr/nasadem/x4,4500
same_region_cross_source/test/lr/nasadem/x6,4500
