table,scale,status,pair_count
additional_region_cross_source_test,2,ok,9000
additional_region_cross_source_test,4,ok,9000
additional_region_cross_source_test,6,ok,9000
additional_regions_test,2,ok,4500
additional_regions_test,4,ok,4500
additional_regions_test,6,ok,4500
main_test,2,ok,4500
main_test,4,ok,4500
main_test,6,ok,4500
main_train,2,ok,36000
main_train,4,ok,36000
main_train,6,ok,36000
main_val,2,ok,4500
main_val,4,ok,4500
main_val,6,ok,4500
same_region_cross_source_test,2,ok,9000
same_region_cross_source_test,4,ok,9000
same_region_cross_source_test,6,ok,9000
